rabbitmq-1  | 2026-09-20 20:45:47.847818+00:00 [info] <0.858.0> Ready to start client connection listeners[0m
rabbitmq-1  | 2026-09-20 20:45:47.852067+00:00 [info] <0.994.0> started TCP listener on [::]:5672[0m
rabbitmq-1  |  completed with 4 plugins.
rabbitmq-1  | 2026-09-20 20:45:48.013768+00:00 [info] <0.858.0> Server startup complete; 4 plugins started.[0m
rabbitmq-1  | 2026-09-20 20:45:48.013768+00:00 [info] <0.858.0>  * rabbitmq_prometheus[0m
rabbitmq-1  | 2026-09-20 20:45:48.013768+00:00 [info] <0.858.0>  * rabbitmq_management[0m
rabbitmq-1  | 2026-09-20 20:45:48.013768+00:00 [info] <0.858.0>  * rabbitmq_management_agent[0m
rabbitmq-1  | 2026-09-20 20:45:48.013768+00:00 [info] <0.858.0>  * rabbitmq_web_dispatch[0m
rabbitmq-1  | 2026-09-20 20:45:48.144982+00:00 [info] <0.10.0> Time to start RabbitMQ: 5313 ms[0m
rabbitmq-1  | 2026-09-20 20:45:52.833822+00:00 [info] <0.1008.0> accepting AMQP connection 172.23.0.1:40092 -> 172.23.0.2:5672[0m
rabbitmq-1  | 2026-09-20 20:45:52.879903+00:00 [info] <0.1008.0> connection 172.23.0.1:40092 -> 172.23.0.2:5672 has a client-provided name: catalog-outbox-relay-outage-relay[0m
rabbitmq-1  | 2026-09-20 20:45:52.885835+00:00 [info] <0.1008.0> connection 172.23.0.1:40092 -> 172.23.0.2:5672 - catalog-outbox-relay-outage-relay: user 'cw_catalog_app' authenticated and granted access to vhost 'washgo-acceptance'[0m
rabbitmq-1  | [38;5;214m2026-09-20 20:45:53.083506+00:00 [warning] <0.1008.0> closing AMQP connection <0.1008.0> (172.23.0.1:40092 -> 172.23.0.2:5672 - catalog-outbox-relay-outage-relay, vhost: 'washgo-acceptance', user: 'cw_catalog_app', duration: '253ms'):[0m
rabbitmq-1  | [38;5;214m2026-09-20 20:45:53.083506+00:00 [warning] <0.1008.0> client unexpectedly closed TCP connection[0m
rabbitmq-1  | 2026-09-20 20:45:55.785611+00:00 [info] <0.1035.0> accepting AMQP connection 172.23.0.1:35534 -> 172.23.0.2:5672[0m
rabbitmq-1  | 2026-09-20 20:45:55.791892+00:00 [info] <0.1035.0> connection 172.23.0.1:35534 -> 172.23.0.2:5672 has a client-provided name: reporting-inbox-consumer[0m
rabbitmq-1  | 2026-09-20 20:45:55.803594+00:00 [info] <0.1035.0> connection 172.23.0.1:35534 -> 172.23.0.2:5672 - reporting-inbox-consumer: user 'cw_reporting_app' authenticated and granted access to vhost 'washgo-acceptance'[0m
rabbitmq-1  | 2026-09-20 20:45:56.137370+00:00 [info] <0.1035.0> closing AMQP connection (172.23.0.1:35534 -> 172.23.0.2:5672 - reporting-inbox-consumer, vhost: 'washgo-acceptance', user: 'cw_reporting_app', duration: '352ms')[0m
rabbitmq-1  | 2026-09-20 20:45:56.239109+00:00 [info] <0.1054.0> accepting AMQP connection 172.23.0.1:35550 -> 172.23.0.2:5672[0m
rabbitmq-1  | 2026-09-20 20:45:56.244348+00:00 [info] <0.1054.0> connection 172.23.0.1:35550 -> 172.23.0.2:5672: user 'cw_communications_app' authenticated and granted access to vhost 'washgo-acceptance'[0m
rabbitmq-1  | 2026-09-20 20:45:56.269482+00:00 [info] <0.1054.0> closing AMQP connection (172.23.0.1:35550 -> 172.23.0.2:5672, vhost: 'washgo-acceptance', user: 'cw_communications_app', duration: '30ms')[0m
rabbitmq-1  | 2026-09-20 20:45:56.270482+00:00 [info] <0.1072.0> accepting AMQP connection 172.23.0.1:35558 -> 172.23.0.2:5672[0m
rabbitmq-1  | 2026-09-20 20:45:56.275378+00:00 [info] <0.1072.0> connection 172.23.0.1:35558 -> 172.23.0.2:5672: user 'cw_reporting_app' authenticated and granted access to vhost 'washgo-acceptance'[0m
rabbitmq-1  | 2026-09-20 20:45:56.296958+00:00 [info] <0.1072.0> closing AMQP connection (172.23.0.1:35558 -> 172.23.0.2:5672, vhost: 'washgo-acceptance', user: 'cw_reporting_app', duration: '26ms')[0m
rabbitmq-1  | 2026-09-20 20:45:56.297535+00:00 [info] <0.1090.0> accepting AMQP connection 172.23.0.1:35574 -> 172.23.0.2:5672[0m
rabbitmq-1  | 2026-09-20 20:45:56.301057+00:00 [info] <0.1090.0> connection 172.23.0.1:35574 -> 172.23.0.2:5672: user 'cw_communications_app' authenticated and granted access to vhost 'washgo-acceptance'[0m
rabbitmq-1  | 2026-09-20 20:45:56.309535+00:00 [info] <0.1090.0> closing AMQP connection (172.23.0.1:35574 -> 172.23.0.2:5672, vhost: 'washgo-acceptance', user: 'cw_communications_app', duration: '12ms')[0m
rabbitmq-1  | 2026-09-20 20:45:56.310235+00:00 [info] <0.1108.0> accepting AMQP connection 172.23.0.1:35586 -> 172.23.0.2:5672[0m
rabbitmq-1  | 2026-09-20 20:45:56.314027+00:00 [info] <0.1108.0> connection 172.23.0.1:35586 -> 172.23.0.2:5672: user 'cw_communications_app' authenticated and granted access to vhost 'washgo-acceptance'[0m
rabbitmq-1  | 2026-09-20 20:45:56.322632+00:00 [info] <0.1108.0> closing AMQP connection (172.23.0.1:35586 -> 172.23.0.2:5672, vhost: 'washgo-acceptance', user: 'cw_communications_app', duration: '12ms')[0m
rabbitmq-1  | 2026-09-20 20:45:56.323420+00:00 [info] <0.1126.0> accepting AMQP connection 172.23.0.1:35588 -> 172.23.0.2:5672[0m
